code,ecs,claim_count,claims_found,claim_status
37600198776,0.625,5,this product is natural|this product is healthy|this product is environmentally friendly|this product is organic|this product is sustainable,ok
11110826497,0.5,4,this product is natural|this product contains no artificial ingredients|this product is healthy|this product is environmentally friendly,ok
23923320017,0.625,5,this product is organic|this product is natural|this product is environmentally friendly|this product is healthy|this product is sustainable,ok
33776100308,0.5,4,this product is natural|this product is environmentally friendly|this product is healthy|this product is sustainable,ok
27064571031,1.0,8,this product is environmentally friendly|this product is organic|this product is pure and clean|this product contains no artificial ingredients|this product is natural|this product is healthy|this product is sustainable|this product contains no preservatives,ok
16291442375,1.0,8,this product is organic|this product is natural|this product contains no artificial ingredients|this product is environmentally friendly|this product is sustainable|this product is pure and clean|this product is healthy|this product contains no preservatives,ok
35971802025,0.625,5,this product is organic|this product is sustainable|this product is environmentally friendly|this product is natural|this product is healthy,ok
39047001404,0.25,2,this product is environmentally friendly|this product is sustainable,ok
11150046251,0.0,0,,ok
13000656320,0.375,3,this product is environmentally friendly|this product is healthy|this product is sustainable,ok
30684020537,0.75,6,this product is environmentally friendly|this product is organic|this product is natural|this product is healthy|this product is sustainable|this product contains no artificial ingredients,ok
21140181275,0.0,0,,ok
11150040211,0.75,6,this product is organic|this product is natural|this product is sustainable|this product is environmentally friendly|this product is healthy|this product is pure and clean,ok
20728709030,0.625,5,this product is environmentally friendly|this product is organic|this product is healthy|this product is natural|this product is sustainable,ok
72220008586,0.75,6,this product is organic|this product is natural|this product is environmentally friendly|this product is sustainable|this product is pure and clean|this product is healthy,ok
11150982641,0.75,6,this product is environmentally friendly|this product is organic|this product is natural|this product is sustainable|this product is healthy|this product contains no artificial ingredients,ok
8005125193,0.625,5,this product is organic|this product is natural|this product is environmentally friendly|this product is sustainable|this product is healthy,ok
33400721756,0.625,5,this product is healthy|this product is sustainable|this product is environmentally friendly|this product is natural|this product is organic,ok
33776100889,0.875,7,this product is natural|this product is environmentally friendly|this product is healthy|this product is pure and clean|this product is organic|this product is sustainable|this product contains no artificial ingredients,ok
41415342439,0.75,6,this product is environmentally friendly|this product is sustainable|this product is organic|this product is natural|this product is healthy|this product is pure and clean,ok
36632018779,0.0,0,,ok
36800051140,0.125,1,this product is natural,ok
24182011586,0.75,6,this product is environmentally friendly|this product is organic|this product is sustainable|this product is natural|this product is healthy|this product is pure and clean,ok
41000022975,0.0,0,,ok
35742221116,0.625,5,this product is pure and clean|this product is environmentally friendly|this product is natural|this product is healthy|this product is sustainable,ok
36800093072,0.625,5,this product is organic|this product is natural|this product is environmentally friendly|this product is sustainable|this product is healthy,ok
11535501337,0.375,3,this product is organic|this product is sustainable|this product is environmentally friendly,ok
41000344060,0.0,0,,ok
41190049325,0.875,7,this product is environmentally friendly|this product is organic|this product contains no artificial ingredients|this product is natural|this product is sustainable|this product is pure and clean|this product is healthy,ok
23882197637,1.0,8,this product is environmentally friendly|this product is healthy|this product is natural|this product is pure and clean|this product contains no artificial ingredients|this product contains no preservatives|this product is sustainable|this product is organic,ok
22852417102,0.375,3,this product is environmentally friendly|this product is sustainable|this product is healthy,ok
35826094582,0.0,0,,ok
25317656009,0.125,1,this product is organic,ok
39215,0.875,7,this product is organic|this product is natural|this product is environmentally friendly|this product is sustainable|this product is pure and clean|this product contains no artificial ingredients|this product is healthy,ok
41244006434,1.0,8,this product contains no artificial ingredients|this product is organic|this product is natural|this product is pure and clean|this product is healthy|this product is environmentally friendly|this product is sustainable|this product contains no preservatives,ok
39047018136,0.5,4,this product is sustainable|this product is natural|this product is pure and clean|this product is environmentally friendly,ok
41420477294,0.375,3,this product is organic|this product is environmentally friendly|this product is sustainable,ok
12511305000,0.75,6,this product is organic|this product is environmentally friendly|this product is natural|this product contains no artificial ingredients|this product is sustainable|this product is pure and clean,ok
24182021660,0.625,5,this product is organic|this product is natural|this product is sustainable|this product is environmentally friendly|this product is healthy,ok
11150511193,0.875,7,this product is environmentally friendly|this product is organic|this product is healthy|this product is natural|this product is sustainable|this product is pure and clean|this product contains no artificial ingredients,ok
41190046867,0.75,6,this product is environmentally friendly|this product is organic|this product is natural|this product is healthy|this product is sustainable|this product is pure and clean,ok
11150950077,0.625,5,this product is organic|this product is natural|this product is environmentally friendly|this product is sustainable|this product is healthy,ok
11150980593,0.25,2,this product is healthy|this product is environmentally friendly,ok
25317532006,0.625,5,this product is organic|this product is environmentally friendly|this product is sustainable|this product is healthy|this product is natural,ok
25317005913,0.0,0,,ok
41497096275,0.875,7,this product contains no artificial ingredients|this product is natural|this product is organic|this product is pure and clean|this product is sustainable|this product contains no preservatives|this product is environmentally friendly,ok
11213523644,1.0,8,this product is natural|this product contains no artificial ingredients|this product is healthy|this product is pure and clean|this product is environmentally friendly|this product is sustainable|this product contains no preservatives|this product is organic,ok
22014110407,1.0,8,this product is environmentally friendly|this product contains no artificial ingredients|this product is natural|this product is organic|this product is sustainable|this product is pure and clean|this product is healthy|this product contains no preservatives,ok
13609020546,0.75,6,this product is sustainable|this product is organic|this product is environmentally friendly|this product is healthy|this product is natural|this product is pure and clean,ok
20662005434,0.625,5,this product is natural|this product is healthy|this product is pure and clean|this product is environmentally friendly|this product is sustainable,ok
41000273643,0.0,0,,ok
24000367024,0.0,0,,ok
20662003942,0.5,4,this product is organic|this product is environmentally friendly|this product is sustainable|this product is healthy,ok
13764027312,0.5,4,this product is organic|this product is environmentally friendly|this product is sustainable|this product is healthy,ok
