code,product_name,brands,categories_en,labels_tags,countries_en,ingredients_text,additives_tags,greenwash_label,annotation_notes,image_front_url
37600198776,Natural Choice Flame Seared Herb Turkey Breast,Hormel,,,United States,"Turkey breast, turkey broth, salt, turbinado sugar, potato starch, olive oil, baking soda, natural flavoring.",,Low,,https://images.openfoodfacts.org/images/products/003/760/019/8776/front_en.jpg
11110826497,Extra Cherry Mixed Fruit In Natural Cherry Flavored Light Syrup,Kroger,,,United States,"Peaches, water, pears, grapes, sugar, halved cherries (colored red with carmine), natural flavor.",en:e120,Low,,https://images.openfoodfacts.org/images/products/001/111/082/6497/front_en.jpg
23923320017,"Organic Baby Food Puree, Pear Carrot Apricot",Earth's Best,,,United States,"Organic pear, organic carrot puree, water, organic apricot, citric acid, vitamin a palmitate, mixed tocopherols (vitamin e), zinc sulfate, ascorbic acid.","en:e300,en:e307c,en:e330",Medium,,https://images.openfoodfacts.org/images/products/002/392/332/0017/front_en.jpg
33776100308,"Natural Rich Roast Peanut Butter & Oil Blend, Creamy",Smart Balance,,,United States,"Peanut butter (peanuts, dried cane syrup, salt, molasses), oil blend (palm fruit and flaxseed oils).",,Low,,https://images.openfoodfacts.org/images/products/003/377/610/0308/front_en.jpg
27064571031,Organic Spelt Elbows,Nature's Legacy,,,United States,"Organic spelt (wheat), flour (unbleached), unbromated & uneriched) and water.",,Low,,https://images.openfoodfacts.org/images/products/002/706/457/1031/front_en.jpg
16291442375,100|% Organic Coarse Ground Black Pepper,Morton & Bassett Spices,,,United States,Contains: certified 100% organic coarse ground black pepper,,Low,,https://images.openfoodfacts.org/images/products/001/629/144/2375/front_en.jpg
35971802025,Organic Asparagus & Cheese,Markets Of Meijer,,,United States,"Organic asparagus & organic parmesan hard grating cheese (organic pasteurized milk, cheese culture, salt, enzymes), powdered cellulose (to prevent caking). asparagus & cheese - organic asparagus & organic parmesan cheese","en:e460,en:e460ii",Low,,https://images.openfoodfacts.org/images/products/003/597/180/2025/front_en.jpg
39047001404,Pure Butter : Shortbread Rounds,"Walkers, Walkers Shortbread Ltd",,,"Switzerland,United States","farine de blé (farine de blé, carbonate de calcium, fer, niacine, thiamine), beurre (lait) (32%), sucre, sel","en:e170,en:e375",Low,,https://images.openfoodfacts.org/images/products/003/904/700/1404/front_en.jpg
11150046251,Crushed Tomatoes With Basil In Heavy Puree,Roundy's,,,United States,"Diced tomatoes, crushed tomatoes (water, concentrated crushed tomatoes), salt, basil, citric acid.",en:e330,Low,,https://images.openfoodfacts.org/images/products/001/115/004/6251/front_en.jpg
13000656320,Gluten Free Fusilli Pasta,Biaglut,,,United States,"Corn and potato starch, lupin flour, mono and diglycerides (emulsifier).",en:e471,Low,,https://images.openfoodfacts.org/images/products/001/300/065/6320/front_en.jpg
30684020537,Organic Tomato Sauce,Tree Of Life,,,United States,"Organic tomato puree, sea salt, organic sugar, organic red pepper, naturally derived citric acid.",en:e330,Low,,https://images.openfoodfacts.org/images/products/003/068/402/0537/front_en.jpg
21140181275,"Apples & Cinnamon Naturally Flavored Instant Oatmeal, Apples, Cinnamon",Winn-Dixie,,,United States,"Whole grain rolled oats (with oat bran), sugar, dehydrated apples (treated with sulfur dioxide and sodium sulfite to promote color retention), cinnamon, salt, calcium carbonate (a source of calcium), natural flavors, citric acid, guar gum, ferric orthophosphate ( a source of iron), niacinamide*, pyridoxine hydrochloride (vitamin b6)*, riboflavin*, vitamin a palmitate, thiamine mononitrate*, folic acid*. * one of the b vitamins.","en:e101,en:e101i,en:e170,en:e330,en:e412",Low,,https://images.openfoodfacts.org/images/products/002/114/018/1275/front_en.jpg
11150040211,Organic Soymilk,Simply Roundy's,,,United States,"Organic soymilk (filtered water, whole organic soybeans), organic evaporated cane syrup, calcium carbonate, natural flavors, sea salt, carrageenan, vitamin a palmitate, vitamin d2, riboflavin (vitamin b2), vitamin b12.","en:e101,en:e101i,en:e170,en:e407",Medium,,https://images.openfoodfacts.org/images/products/001/115/004/0211/front_en.jpg
20728709030,"Coast Fruit, Organic Pico De Gallo","Pacific,  Pacific Coast Fruit",,,United States,"Organic tomatoes, organic yellow onion, lime juice, organic jalapeno pepper, organic cilantro, kosher salt, black pepper.",,Low,,https://images.openfoodfacts.org/images/products/002/072/870/9030/front_en.jpg
72220008586,Organic 100% Whole Wheat,Franz,,,United States,"Ingredients: organic whole wheat flour, filtered water, organic cracked wheat, organic brown sugar, organic honey, contains 2% or less of each of the following: yeast, sea salt, organic soybean oil, organic cultured wheat flour, organic wheat bran, organi",,Low,,https://images.openfoodfacts.org/images/products/007/222/000/8586/front_en.jpg
